strain_unl	strain_gfp	spores_prct_gfp	expt_date	expt_name
AX4	AX4 GFP	0.4726	10/14/15	cheat
CD1	AX4 GFP	0.3183	10/14/15	cheat
CD2	AX4 GFP	0.4138	10/14/15	cheat
CD3	AX4 GFP	0.2972	10/14/15	cheat
AX4	AX4 GFP	0.4491	10/17/15	cheat
CD1	AX4 GFP	0.2819	10/17/15	cheat
CD2	AX4 GFP	0.2948	10/17/15	cheat
CD3	AX4 GFP	0.2749	10/17/15	cheat
CD4	AX4 GFP	0.3071	10/17/15	cheat
AX4	AX4 GFP	0.4801	10/28/15	cheat
CD1	AX4 GFP	0.308	10/28/15	cheat
CD2	AX4 GFP	0.3618	10/28/15	cheat
CD3	AX4 GFP	0.3048	10/28/15	cheat
CD4	AX4 GFP	0.3489	10/28/15	cheat
AX4	AX4 GFP	0.5361	11/08/15	cheat
CD1	AX4 GFP	0.3801	11/08/15	cheat
CD2	AX4 GFP	0.4388	11/08/15	cheat
CD3	AX4 GFP	0.2961	11/08/15	cheat
CD4	AX4 GFP	0.4198	11/08/15	cheat
AX4	AX4 GFP	0.3442	12/11/17	pairwise_resistance
CD1	AX4 GFP	0.2365	12/11/17	pairwise_resistance
AX4	AX4 GFP	0.5026	12/12/17	pairwise_resistance
CD2	AX4 GFP	0.4566	12/12/17	pairwise_resistance
AX4	AX4 GFP	0.4759	12/13/17	pairwise_resistance
CD3	AX4 GFP	0.4553	12/13/17	pairwise_resistance
AX4	AX4 GFP	0.1968	12/14/17	pairwise_resistance
CD4	AX4 GFP	0.3184	12/14/17	pairwise_resistance
AX4	AX4 GFP	0.2733	12/15/17	pairwise_resistance
CD1	AX4 GFP	0.4393	1/09/18	pairwise_resistance
CD2	AX4 GFP	0.439	1/09/18	pairwise_resistance
AX4	AX4 GFP	0.2463	1/11/18	pairwise_resistance
CD3	AX4 GFP	0.0939	1/11/18	pairwise_resistance
CD4	AX4 GFP	0.0542	1/11/18	pairwise_resistance
AX4	AX4 GFP	0.4469	1/18/18	pairwise_resistance
CD4	AX4 GFP	0.4639	1/18/18	pairwise_resistance
AX4	AX4 GFP	0.439	1/25/18	pairwise_resistance
CD2	AX4 GFP	0.291	1/25/18	pairwise_resistance
CD3	AX4 GFP	0.4873	1/31/18	pairwise_resistance
CD4	AX4 GFP	0.7333	1/31/18	pairwise_resistance
AX4	AX4 GFP	0.7138	2/07/18	pairwise_resistance
CD1	AX4 GFP	0.3898	2/07/18	pairwise_resistance
CD2	AX4 GFP	0.4163	2/07/18	pairwise_resistance
CD3	AX4 GFP	0.4496	2/07/18	pairwise_resistance
AX4	AX4 GFP	0.411	2/09/18	pairwise_resistance
CD4	AX4 GFP	0.6402	2/09/18	pairwise_resistance
AX4	AX4 GFP	0.4359	6/06/17	r15_clone_resistance
CD1	AX4 GFP	0.3659	6/06/17	r15_clone_resistance
CD2	AX4 GFP	0.2251	6/06/17	r15_clone_resistance
CD3	AX4 GFP	0.3753	6/06/17	r15_clone_resistance
CD4	AX4 GFP	0.3132	6/06/17	r15_clone_resistance
AX4	AX4 GFP	0.6367	6/09/17	r15_clone_resistance
CD1	AX4 GFP	0.4805	6/09/17	r15_clone_resistance
CD2	AX4 GFP	0.4372	6/09/17	r15_clone_resistance
CD3	AX4 GFP	0.4128	6/09/17	r15_clone_resistance
CD4	AX4 GFP	0.3948	6/09/17	r15_clone_resistance
AX4	AX4 GFP	0.5363	6/26/17	r15_clone_resistance
CD1	AX4 GFP	0.4324	6/26/17	r15_clone_resistance
CD2	AX4 GFP	0.4106	6/26/17	r15_clone_resistance
CD3	AX4 GFP	0.4749	6/26/17	r15_clone_resistance
CD4	AX4 GFP	0.4476	6/26/17	r15_clone_resistance
AX4	AX4 GFP	0.435	7/03/17	r15_clone_resistance
CD1	AX4 GFP	0.3594	7/03/17	r15_clone_resistance
CD2	AX4 GFP	0.3894	7/03/17	r15_clone_resistance
CD3	AX4 GFP	0.3708	7/03/17	r15_clone_resistance
CD4	AX4 GFP	0.4259	7/03/17	r15_clone_resistance
AX4	AX4 GFP	0.3727	7/25/17	r15_clone_resistance
CD1	AX4 GFP	0.2245	7/25/17	r15_clone_resistance
CD2	AX4 GFP	0.2477	7/25/17	r15_clone_resistance
CD3	AX4 GFP	0.2891	7/25/17	r15_clone_resistance
CD4	AX4 GFP	0.1854	7/25/17	r15_clone_resistance
AX4	AX4 GFP	0.428	11/09/16	r15_pop_resistance
CD2	AX4 GFP	0.3312	11/09/16	r15_pop_resistance
AX4	AX4 GFP	0.457	11/13/16	r15_pop_resistance
CD1	AX4 GFP	0.457	11/13/16	r15_pop_resistance
AX4	AX4 GFP	0.477	11/25/16	r15_pop_resistance
CD4	AX4 GFP	0.307	11/25/16	r15_pop_resistance
AX4	AX4 GFP	0.4872	12/04/16	r15_pop_resistance
CD1	AX4 GFP	0.6425	12/04/16	r15_pop_resistance
AX4	AX4 GFP	0.3311	12/07/16	r15_pop_resistance
AX4	AX4 GFP	0.4953	12/07/16	r15_pop_resistance
CD3	AX4 GFP	0.3441	12/07/16	r15_pop_resistance
CD4	AX4 GFP	0.2636	12/07/16	r15_pop_resistance
AX4	AX4 GFP	0.4493	1/11/17	r15_pop_resistance
CD1	AX4 GFP	0.4478	1/11/17	r15_pop_resistance
CD2	AX4 GFP	0.3254	1/11/17	r15_pop_resistance
CD3	AX4 GFP	0.4996	1/11/17	r15_pop_resistance
AX4	AX4 GFP	0.4518	2/07/17	r15_pop_resistance
CD3	AX4 GFP	0.3298	2/07/17	r15_pop_resistance
AX4	AX4 GFP	0.2501	2/27/17	r15_pop_resistance
CD1	AX4 GFP	0.2312	2/27/17	r15_pop_resistance
CD2	AX4 GFP	0.1701	2/27/17	r15_pop_resistance
CD3	AX4 GFP	0.2383	2/27/17	r15_pop_resistance
