strain	dt	rep	evol_group
AX4	8.332567	A	Control
AX4	8.871459	B	Control
AX4	9.782162	C	Control
AX4_GFP	15.511812	A	Control.gfp
AX4_GFP	10.466161	B	Control.gfp
AX4_GFP	11.045211	C	Control.gfp
CD1	10.550092	A	Cheater
CD1	8.940099	B	Cheater
CD1	9.19573	C	Cheater
CD2	10.612583	A	Cheater
CD2	9.586134	B	Cheater
CD2	10.336237	C	Cheater
CD3	9.529843	A	Cheater
CD3	7.764832	B	Cheater
CD3	9.697881	C	Cheater
CD4	9.601448	A	Cheater
CD4	9.827083	B	Cheater
rAX4.1	8.448713	A	rAX4
rAX4.1	9.898985	B	rAX4
rAX4.1	10.44174	C	rAX4
rAX4.2	8.282898	A	rAX4
rAX4.2	7.926161	B	rAX4
rAX4.2	9.308631	C	rAX4
rAX4.3	8.293004	A	rAX4
rAX4.3	10.439673	B	rAX4
rAX4.3	9.782162	C	rAX4
rAX4.4	8.470189	A	rAX4
rAX4.4	7.648206	B	rAX4
rAX4.4	10.094876	C	rAX4
rAX4.5	9.533102	A	rAX4
rAX4.5	10.053246	B	rAX4
rAX4.5	10.1177	C	rAX4
rAX4.6	8.295122	A	rAX4
rAX4.6	7.728329	B	rAX4
rAX4.6	10.753178	C	rAX4
rCD1.1	8.199298	A	rCD1
rCD1.1	10.05121	B	rCD1
rCD1.1	9.984701	C	rCD1
rCD1.2	8.422314	A	rCD1
rCD1.2	7.264372	B	rCD1
rCD1.2	9.159756	C	rCD1
rCD1.3	8.72578	A	rCD1
rCD1.3	14.097301	B	rCD1
rCD1.3	10.524666	C	rCD1
rCD1.4	8.61257	A	rCD1
rCD1.4	9.019028	B	rCD1
rCD1.4	9.571381	C	rCD1
rCD1.5	8.521827	A	rCD1
rCD1.5	7.436273	B	rCD1
rCD1.5	9.137669	C	rCD1
rCD1.6	8.03569	A	rCD1
rCD1.6	6.825781	B	rCD1
rCD1.6	9.646782	C	rCD1
rCD2.1	7.809527	A	rCD2
rCD2.1	7.855029	B	rCD2
rCD2.1	9.853862	C	rCD2
rCD2.2	10.921798	A	rCD2
rCD2.2	8.215377	B	rCD2
rCD2.2	9.209427	C	rCD2
rCD2.3	8.640878	A	rCD2
rCD2.3	8.346331	B	rCD2
rCD2.3	9.887406	C	rCD2
rCD2.4	8.011428	A	rCD2
rCD2.4	21.298188	B	rCD2
rCD2.4	9.434958	C	rCD2
rCD2.5	8.387842	A	rCD2
rCD2.5	27.94722	B	rCD2
rCD2.5	10.691104	C	rCD2
rCD2.6	8.125536	A	rCD2
rCD2.6	8.30617	B	rCD2
rCD2.6	8.706583	C	rCD2
rCD3.1	10.196735	A	rCD3
rCD3.1	8.481534	B	rCD3
rCD3.1	9.894189	C	rCD3
rCD3.2	8.261093	A	rCD3
rCD3.2	6.932429	B	rCD3
rCD3.2	10.985908	C	rCD3
rCD3.3	8.641723	A	rCD3
rCD3.3	7.868845	B	rCD3
rCD3.3	19.10335	C	rCD3
rCD3.4	8.324274	A	rCD3
rCD3.4	8.060463	B	rCD3
rCD3.4	9.035672	C	rCD3
rCD3.5	8.991474	A	rCD3
rCD3.5	7.500205	B	rCD3
rCD3.5	10.515283	C	rCD3
rCD3.6	9.162388	A	rCD3
rCD3.6	11.237504	B	rCD3
rCD3.6	9.61158	C	rCD3
rCD4.1	8.728594	A	rCD4
rCD4.1	12.514195	B	rCD4
rCD4.1	11.181561	C	rCD4
rCD4.2	9.799864	A	rCD4
rCD4.2	6.845172	B	rCD4
rCD4.2	10.611107	C	rCD4
rCD4.3	8.260416	A	rCD4
rCD4.3	7.667225	B	rCD4
rCD4.3	10.432732	C	rCD4
rCD4.4	8.560521	A	rCD4
rCD4.4	7.849856	B	rCD4
rCD4.4	14.84845	C	rCD4
rCD4.5	9.687516	A	rCD4
rCD4.5	17.593481	C	rCD4
rCD4.6	8.374711	A	rCD4
rCD4.6	7.497889	B	rCD4
rCD4.6	11.775954	C	rCD4
