strain_unl	strain_gfp	evol_partner	spores_prct_gfp	spef_gfp	spef_unl	exp_date	expt_category	
AX4	AX4_G	NONE	0.402	0.304	0.4115	31-May-17	r15_clonal_resistance	
CD1	rCD1.1	CD1	0.3555	1.225	1.085	31-May-17	r15_clonal_resistance	
CD1	rCD1.2	CD1	0.2395	1.24	1.085	31-May-17	r15_clonal_resistance	
CD1	rCD1.3	CD1	0.3192	0.635	1.085	31-May-17	r15_clonal_resistance	
CD1	rCD1.4	CD1	0.2336	0.4895	1.085	31-May-17	r15_clonal_resistance	
CD1	rCD1.5	CD1	0.3552	0.82	1.085	31-May-17	r15_clonal_resistance	
CD1	rCD1.6	CD1	0.3014	0.71	1.085	31-May-17	r15_clonal_resistance	
CD1	AX4_G	NONE	0.1091	0.304	1.085	31-May-17	r15_clonal_resistance	
AX4	rAX4.1	AX4	0.5437	1.16	1.145	6-Jun-17	r15_clonal_resistance	
AX4	rAX4.2	AX4	0.5309	1.18	1.145	6-Jun-17	r15_clonal_resistance	
AX4	rAX4.3	AX4	0.556	1.18	1.145	6-Jun-17	r15_clonal_resistance	
AX4	rAX4.4	AX4	0.4708	0.89	1.145	6-Jun-17	r15_clonal_resistance	
AX4	rAX4.5	AX4	0.4125	0.895	1.145	6-Jun-17	r15_clonal_resistance	
AX4	rAX4.6	AX4	0.5077	1.08	1.145	6-Jun-17	r15_clonal_resistance	
AX4	AX4_G	NONE	0.4359	1.27	1.145	6-Jun-17	r15_clonal_resistance	
CD1	rCD1.1	CD1	0.4794	0.635	1.39	6-Jun-17	r15_clonal_resistance	
CD1	rCD1.2	CD1	0.4591	0.83	1.39	6-Jun-17	r15_clonal_resistance	
CD1	rCD1.3	CD1	0.4409	0.805	1.39	6-Jun-17	r15_clonal_resistance	
CD1	rCD1.4	CD1	0.5412	0.695	1.39	6-Jun-17	r15_clonal_resistance	
CD1	rCD1.5	CD1	0.5736	0.96	1.39	6-Jun-17	r15_clonal_resistance	
CD1	rCD1.6	CD1	0.5411	1.31	1.39	6-Jun-17	r15_clonal_resistance	
CD1	AX4_G	NONE	0.3659	1.27	1.39	6-Jun-17	r15_clonal_resistance	
CD2	rCD2.1	CD2	0.3106	0.88	1.055	6-Jun-17	r15_clonal_resistance	
CD2	rCD2.2	CD2	0.4253	0.845	1.055	6-Jun-17	r15_clonal_resistance	
CD2	rCD2.3	CD2	0.3278	0.85	1.055	6-Jun-17	r15_clonal_resistance	
CD2	rCD2.4	CD2	0.306	0.795	1.055	6-Jun-17	r15_clonal_resistance	
CD2	rCD2.5	CD2	0.3484	0.77	1.055	6-Jun-17	r15_clonal_resistance	
