strain_unl	strain_gfp	evol_partner	spores_prct_gfp	exp_date
AX4	AX4G	none	0.428	11/09/16
CD2	AX4G	none	0.3312	11/09/16
AX4	AX4G	none	0.457	11/13/16
CD1	AX4G	none	0.457	11/13/16
AX4	AX4G	none	0.477	11/25/16
CD4	AX4G	none	0.307	11/25/16
AX4	AX4G	none	0.4872	12/04/16
CD1	AX4G	none	0.6425	12/04/16
AX4	AX4G	none	0.3311	12/07/16
CD4	AX4G	none	0.2636	12/07/16
CD3	AX4G	none	0.3441	12/07/16
AX4	AX4G	none	0.4953	12/07/16
CD1	AX4G	none	0.4478	1/11/17
AX4	AX4G	none	0.4493	1/11/17
CD2	AX4G	none	0.3254	1/11/17
CD3	AX4G	none	0.4996	1/11/17
AX4	AX4G	none	0.4518	2/07/17
CD3	AX4G	none	0.3298	2/07/17
AX4	AX4G	none	0.2501	2/27/17
CD1	AX4G	none	0.2312	2/27/17
CD4	AX4G	none	0.2389	2/27/17
CD3	AX4G	none	0.2383	2/27/17
CD2	AX4G	none	0.1701	2/27/17
CD4	AX4G	none	0.2728	3/06/17
CD1	AX4G	none	0.3105	3/06/17
CD3	AX4G	none	0.4556	3/06/17
AX4	AX4G	none	0.6012	3/06/17
AX4	AX4G	none	0.3944	3/10/17
CD2	AX4G	none	0.275	3/10/17
CD3	AX4G	none	0.2577	3/22/17
AX4	AX4G	none	0.2658	3/22/17
CD4	AX4G	none	0.5439	3/22/17
CD2	AX4G	none	0.5088	3/22/17
CD1	AX4G	none	0.2974	3/24/17
AX4	AX4G	none	0.5087	3/24/17
AX4	AX4G	none	0.4321	5/16/17
CD2	AX4G	none	0.2566	5/16/17
AX4	rAX4.1_R15	AX4	0.6379	11/13/16
AX4	rAX4.1_R15	AX4	0.4423	12/07/16
AX4	rAX4.1_R15	AX4	0.4006	2/27/17
AX4	rAX4.1_R15	AX4	0.147	3/10/17
AX4	rAX4.1_R15	AX4	0.3025	3/22/17
AX4	rAX4.2_R15	AX4	0.6846	11/13/16
AX4	rAX4.2_R15	AX4	0.4501	12/07/16
AX4	rAX4.2_R15	AX4	0.3675	3/10/17
AX4	rAX4.2_R15	AX4	0.5442	3/22/17
AX4	rAX4.3_R15	AX4	0.6263	11/13/16
AX4	rAX4.3_R15	AX4	0.3765	12/07/16
AX4	rAX4.3_R15	AX4	0.2785	3/10/17
AX4	rAX4.3_R15	AX4	0.2699	3/22/17
AX4	rAX4.4_R15	AX4	0.6008	11/13/16
AX4	rAX4.4_R15	AX4	0.3793	12/07/16
AX4	rAX4.4_R15	AX4	0.2814	3/10/17
AX4	rAX4.4_R15	AX4	0.4329	3/22/17
AX4	rAX4.5_R15	AX4	0.5201	11/13/16
AX4	rAX4.5_R15	AX4	0.3516	12/07/16
AX4	rAX4.5_R15	AX4	0.4718	2/27/17
AX4	rAX4.5_R15	AX4	0.2619	3/10/17
AX4	rAX4.5_R15	AX4	0.3188	3/22/17
AX4	rAX4.6_R15	AX4	0.6877	11/13/16
AX4	rAX4.6_R15	AX4	0.3617	12/07/16
AX4	rAX4.6_R15	AX4	0.3995	2/27/17
AX4	rAX4.6_R15	AX4	0.2464	3/10/17
