strain	spores.start	spores.end	group	block
AX4	392	26	Control	A
CD1	374	43	Cheater	A
CD2	463	24	Cheater	A
CD3	434	106	Cheater	A
CD4	428	59	Cheater	A
rAX4.1	497	20	AX4	A
rAX4.2	417	16	AX4	A
rAX4.3	457	18	AX4	A
rAX4.4	683	38	AX4	A
rAX4.5	412	13	AX4	A
rAX4.6	697	23	AX4	A
rCD1.1	380	26	CD1	A
rCD1.2	418	46	CD1	A
rCD1.3	354	38	CD1	A
rCD1.4	640	48	CD1	A
rCD1.5	379	58	CD1	A
rCD1.6	481	46	CD1	A
rCD2.1	442	28	CD2	A
rCD2.2	521	23	CD2	A
rCD2.3	823	47	CD2	A
rCD2.4	1026	86	CD2	A
rCD2.5	912	109	CD2	A
rCD2.6	752	11	CD2	A
rCD3.1	353	101	CD3	A
rCD3.2	964	187	CD3	A
rCD3.3	712	51	CD3	A
rCD3.4	688	95	CD3	A
rCD3.5	717	62	CD3	A
rCD3.6	540	122	CD3	A
rCD4.1	516	87	CD4	A
rCD4.2	840	62	CD4	A
rCD4.3	742	43	CD4	A
rCD4.4	534	9	CD4	A
rCD4.5	933	46	CD4	A
rCD4.6	907	81	CD4	A
AX4	816	89	Control	B
CD1	1030	270	Cheater	B
CD2	1298	325	Cheater	B
CD3	603	110	Cheater	B
CD4	1058	138	Cheater	B
rAX4.1	656	27	AX4	B
rAX4.2	325	3	AX4	B
rAX4.3	655	32	AX4	B
rAX4.4	395	11	AX4	B
rAX4.5	656	37	AX4	B
rAX4.6	1142	109	AX4	B
rCD1.1	735	157	CD1	B
rCD1.2	709	141	CD1	B
rCD1.3	521	80	CD1	B
rCD1.4	809	196	CD1	B
rCD1.5	690	206	CD1	B
rCD1.6	568	160	CD1	B
rCD2.1	714	170	CD2	B
rCD2.2	1788	495	CD2	B
rCD2.3	651	54	CD2	B
rCD2.4	2245	581	CD2	B
rCD2.5	1581	380	CD2	B
rCD2.6	1255	360	CD2	B
rCD3.1	516	126	CD3	B
rCD3.2	1990	491	CD3	B
rCD3.3	510	34	CD3	B
rCD3.4	977	136	CD3	B
rCD3.5	562	96	CD3	B
rCD3.6	954	251	CD3	B
rCD4.1	638	162	CD4	B
rCD4.2	1214	185	CD4	B
rCD4.3	467	31	CD4	B
rCD4.4	365	12	CD4	B
rCD4.5	1460	206	CD4	B
rCD4.6	611	55	CD4	B
AX4	600	151	Control	C
CD1	846	208	Cheater	C
CD2	1379	257	Cheater	C
CD3	1164	211	Cheater	C
CD4	1460	371	Cheater	C
rAX4.1	1169	149	AX4	C
rAX4.2	193	20	AX4	C
rAX4.3	475	118	AX4	C
rAX4.4	309	49	AX4	C
rAX4.5	1590	362	AX4	C
rAX4.6	685	172	AX4	C
rCD1.1	851	141	CD1	C
rCD1.2	914	128	CD1	C
rCD1.3	972	155	CD1	C
rCD1.4	358	21	CD1	C
rCD1.5	963	150	CD1	C
rCD1.6	963	196	CD1	C
rCD2.1	882	271	CD2	C
rCD2.2	1926	268	CD2	C
rCD2.3	1836	157	CD2	C
rCD2.4	2848	499	CD2	C
rCD2.5	1312	261	CD2	C
rCD2.6	618	54	CD2	C
rCD3.1	1250	113	CD3	C
rCD3.2	1281	426	CD3	C
rCD3.3	1496	274	CD3	C
rCD3.4	1621	151	CD3	C
rCD3.5	1456	357	CD3	C
rCD3.6	1236	262	CD3	C
rCD4.1	923	228	CD4	C
rCD4.2	694	115	CD4	C
rCD4.3	1424	425	CD4	C
rCD4.4	2338	629	CD4	C
rCD4.5	2136	447	CD4	C
rCD4.6	1594	393	CD4	C
